model,id,one_hop_a,one_hop_b,two_hop_cot,two_hop_no_cot,two_hop_no_cot_baseline1,two_hop_no_cot_baseline2,two_hop_with_facts_in_context,both_1hops_correct,two_hop_also_correct,two_hop_also_correct_corrected
claude-3-haiku-20240307,7317,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7329,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7332,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7360,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7449,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7450,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7495,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7498,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7514,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7541,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7589,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7596,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7633,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7656,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7665,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7666,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7678,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7718,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7729,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7730,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7735,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7745,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7748,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7792,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7801,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7803,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7812,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7815,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7831,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7845,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7860,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,7869,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7871,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7873,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7908,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7925,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7932,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7949,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7950,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7954,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7955,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7976,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,7979,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,7982,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8040,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8060,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8085,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8097,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8099,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8127,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8128,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8157,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8190,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8232,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,8248,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8254,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8272,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8279,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8286,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8290,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8307,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8320,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,8332,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8344,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8381,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8388,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8400,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8420,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8429,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8462,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8464,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-haiku-20240307,8476,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8483,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8493,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8494,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8520,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8522,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8570,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0
claude-3-haiku-20240307,8594,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8595,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8606,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8614,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-haiku-20240307,8616,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-haiku-20240307,8622,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-haiku-20240307,8625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0
claude-3-haiku-20240307,8657,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-haiku-20240307,8670,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-haiku-20240307,8688,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6569,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6577,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6580,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6606,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6615,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6636,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6657,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6670,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6679,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6712,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6733,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0
claude-3-opus-20240229,6746,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6748,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6752,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6760,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6774,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6801,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6812,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6826,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-opus-20240229,6830,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-opus-20240229,6840,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6882,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6896,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6903,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-opus-20240229,6929,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6930,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,6933,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6954,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6958,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6959,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6960,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6961,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6963,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,6966,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7023,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7065,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7080,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7112,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7115,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7129,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7135,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7163,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7167,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7171,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7187,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7192,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7202,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7209,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7229,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7238,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7240,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7245,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-opus-20240229,7278,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7285,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7291,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7296,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7302,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7317,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7329,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7332,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7360,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7449,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7450,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7495,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7498,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7514,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7541,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7589,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7596,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7633,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7656,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7665,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7666,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7678,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7718,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7729,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7730,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7735,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7745,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7748,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7792,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-opus-20240229,7801,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7803,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7812,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7815,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7831,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7845,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7860,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7869,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7871,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7873,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7875,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7908,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7925,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-opus-20240229,7932,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7949,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7950,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7954,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7955,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-opus-20240229,7976,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,7979,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,7982,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8040,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8060,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8085,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8097,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8099,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8127,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8128,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8157,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8190,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8197,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8232,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-opus-20240229,8248,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-opus-20240229,8254,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-opus-20240229,8272,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8279,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8286,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8290,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8307,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8320,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0
claude-3-opus-20240229,8332,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-3-opus-20240229,8333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8344,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8381,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-opus-20240229,8388,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
