,id,e1,r1,e2,r2,e3,e1_label,e2_label,e3_label,e1_aliases,e2_aliases,e3_aliases,e1_type,r1_type,e2_type,r2_type,e3_type,e1_popularity,e2_popularity,e3_popularity,r1_template,r2_template,source_prompt,first_hop_correct,second_hop_correct,composition_correct,entity_shortcut_correct,relation_shortcut_correct
592,5735,Q253783,P175,Q11036,P112,Q204943,Gimme Shelter,The Rolling Stones,Brian Jones,['Gimmie Shelter'],"['The Stones', 'Rolling Stones', ""The Rollin' Stones"", ""Rollin' Stones"", 'The Rollin Stones', 'Rollin Stones']","['Brian Dawson Jones', 'Lewis Brian Hopkin Jones', 'Elmo Lewis']",musical work/composition,performer,musical group,founded by,human,26855.0,9.0,13.0,the performer of {},the founder of {},the founder of the performer of Gimme Shelter is,True,True,False,False,False
392,5794,Q253783,P86,Q189599,P27,Q145,Gimme Shelter,Keith Richards,United Kingdom,['Gimmie Shelter'],"['Keith Richard', 'Keef Richards']","['G.B.', 'United Kingdom of Great Britain and Northern Ireland', 'G B', 'G B R', 'G.B.R.', '🇬🇧', 'Great Britain and Northern Ireland', 'The UK', 'The United Kingdom of Great Britain and Northern Ireland', 'U K', 'U. K.', 'U.K.', 'Britain', 'UK', 'G. B.', 'GBR', 'Great Britain', 'GB']",musical work/composition,composer,human,country of citizenship,country,10466.0,797.0,58.0,the composer of {},the country of citizenship of {},the country of citizenship of the composer of Gimme Shelter is,True,True,False,False,False
589,5957,Q1953769,P175,Q11036,P112,Q204943,Ruby Tuesday,The Rolling Stones,Brian Jones,"['Goodbye Ruby Tuesday', 'Goodbye, Ruby Tuesday']","['The Stones', 'Rolling Stones', ""The Rollin' Stones"", ""Rollin' Stones"", 'The Rollin Stones', 'Rollin Stones']","['Brian Dawson Jones', 'Lewis Brian Hopkin Jones', 'Elmo Lewis']",musical work/composition,performer,musical group,founded by,human,976.0,12.0,14137.0,the performer of {},the founder of {},the founder of the performer of Ruby Tuesday is,True,True,False,False,False
590,6123,Q723178,P175,Q1299,P740,Q24826,Lucy in the Sky with Diamonds,The Beatles,Liverpool,"['LSD', 'looking glass ties', 'plasticine porters', 'rocking horse people']","['Beatles', 'Fab Four', 'John, Paul, George, and Ringo', 'The Beattles', 'The Lads from Liverpool']","['City of Liverpool', 'Liverpool, England', 'Liverpool, Merseyside', 'Liverpool, UK']",musical work/composition,performer,musical group,location of formation,city,7357.0,353.0,1.0,the performer of {},the location of formation of {},the location of formation of the performer of Lucy in the Sky with Diamonds is,True,True,False,False,False
371,6211,Q1188494,P86,Q216608,P27,Q27,Do They Know It's Christmas?,Bob Geldof,Republic of Ireland,"[""Do They Know It's Christmas Time""]",['Robert Frederick Zenon Geldof'],"['Southern Ireland', 'Ireland', 'Éire', 'IRL', 'Hibernia', 'IE', 'Ireland, Republic of', 'Eire', 'ie', '🇮🇪', 'Ireland (state)']",musical work/composition,composer,human,country of citizenship,country,3278.0,1845.0,53.0,the composer of {},the country of citizenship of {},the country of citizenship of the composer of Do They Know It's Christmas? is,True,True,False,False,False
370,6590,Q10503480,P86,Q7302,P25,Q94777833,Thine Be the Glory,George Frideric Handel,Dorothea Händel,['À toi la gloire'],"['Handel', 'Händel', 'George Frederick Handel', 'G. F. Handel', 'G. F. Händel', 'Georg Friedrich Händel', 'George Frideric']",['Dorothea Taust'],musical work/composition,composer,human,mother,human,11657.0,1363.0,47117.0,the composer of {},the mother of {},the mother of the composer of Thine Be the Glory is,True,True,False,False,False
396,6591,Q10503480,P86,Q7302,P800,Q207732,Thine Be the Glory,George Frideric Handel,Messiah,['À toi la gloire'],"['Handel', 'Händel', 'George Frederick Handel', 'G. F. Handel', 'G. F. Händel', 'Georg Friedrich Händel', 'George Frideric']","['The Messiah', ""Handel's Messiah"", 'HWV 56', 'Messiah, HWV 56']",musical work/composition,composer,human,notable work,musical work/composition,12151.0,1201.0,6.0,the composer of {},the most notable work of {},the most notable work of the composer of Thine Be the Glory is,True,True,False,False,False
594,7142,Q300385,P175,Q1299,P740,Q24826,A Day in the Life,The Beatles,Liverpool,"['Day in the Life, A']","['Beatles', 'Fab Four', 'John, Paul, George, and Ringo', 'The Beattles', 'The Lads from Liverpool']","['City of Liverpool', 'Liverpool, England', 'Liverpool, Merseyside', 'Liverpool, UK']",musical work/composition,performer,musical group,location of formation,city,18548.0,1618.0,47117.0,the performer of {},the location of formation of {},the location of formation of the performer of A Day in the Life is,True,True,False,False,False
597,8192,Q5285361,P175,Q40586,P264,Q1849138,Djobi Djoba,Gipsy Kings,Nonesuch Records,"['Djobi, Djoba']","['Djobi Djoba', 'Gypsy Kings', 'The Gipsy Kings']","['Nonesuch', 'LC 00286', 'LC 0286']",musical work/composition,performer,musical group,record label,record label,719.0,47117.0,6344.0,the performer of {},the record label of {},the record label of the performer of Djobi Djoba is,True,True,False,False,False
587,8193,Q5285361,P175,Q40586,P495,Q142,Djobi Djoba,Gipsy Kings,France,"['Djobi, Djoba']","['Djobi Djoba', 'Gypsy Kings', 'The Gipsy Kings']","['Republic of France', 'the Hexagon', 'French Republic', 'FRA', 'fr', 'FR']",musical work/composition,performer,musical group,country of origin,country,250.0,47117.0,6344.0,the performer of {},the country of origin of {},the country of origin of the performer of Djobi Djoba is,True,True,False,False,False
131,8811,Q485811,P495,Q30,P85,Q44696,Fall Out Boy,United States of America,The Star-Spangled Banner,['FOB'],"['America', 'United States', 'US', 'the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['Star-Spangled Banner', 'The Star Spangled Banner']",musical group,country of origin,country,anthem,musical work/composition,3902.0,664.0,47117.0,the country of origin of {},the national anthem of {},the national anthem of the country of origin of Fall Out Boy is,True,True,False,False,False
757,9127,Q485825,P264,Q202440,P127,Q21077,Simple Plan,Atlantic Records,Warner Music Group,['Plan simple'],"['Atlantic', 'LC 00121', 'LC 0121']","['Warner', 'WMG', 'Warner Music', 'Warner Music Group Corp.']",musical group,record label,record label,owned by,record label,1088.0,14137.0,5379.0,the record label of {},the owner of {},the owner of the record label of Simple Plan is,True,True,False,False,False
759,9199,Q507327,P264,Q1984458,P112,Q2085727,The Allman Brothers Band,Capricorn Records,Phil Walden,"['Allman Brothers', 'Allman Brothers Band', 'The Allman Brothers']",['Capricorn'],['Philip Michael Walden'],musical group,record label,record label,founded by,human,2541.0,47117.0,6344.0,the record label of {},the founder of {},the founder of the record label of The Allman Brothers Band is,True,True,False,False,False
74,9741,Q1467621,P740,Q172,P112,Q561352,Martha and the Muffins,Toronto,John Graves Simcoe,['Martha & the Muffins'],"['Toronto, Canada', 'Hogtown', 'The Six', 'City of Toronto', 'Toronto, Ontario', 'T-O', 'The 416', 'Toronto, ON']",['Lt. Col. Simcoe'],musical group,location of formation,city,founded by,human,82.0,5040.0,953.0,the location of formation of {},the founder of {},the founder of the location of formation of Martha and the Muffins is,True,True,False,False,False
67,10006,Q684097,P740,Q43668,P112,Q918990,My Morning Jacket,Louisville,George Rogers Clark,"['The Jacket', 'MMJ']","['Louisville, Kentucky', 'Louisville, KY', 'Derby City']",['Brig. Gen. George Rogers Clark'],musical group,location of formation,city,founded by,human,9940.0,347.0,770.0,the location of formation of {},the founder of {},the founder of the location of formation of My Morning Jacket is,True,True,False,False,False
107,10104,Q311785,P495,Q30,P85,Q44696,Misfits,United States of America,The Star-Spangled Banner,['The Misfits'],"['the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'America', 'United States', 'US', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['Star-Spangled Banner', 'The Star Spangled Banner']",musical group,country of origin,country,anthem,musical work/composition,7357.0,353.0,1.0,the country of origin of {},the national anthem of {},the national anthem of the country of origin of Misfits is,True,True,False,False,False
788,10169,Q486825,P264,Q27184,P112,Q1101884,Three Days Grace,Jive Records,Clive Calder,"['Groundswell', 'TDG', '3DG', '3 Days Grace']",['Jive'],['Clive Ian Calder'],musical group,record label,record label,founded by,human,12151.0,347.0,47117.0,the record label of {},the founder of {},the founder of the record label of Three Days Grace is,True,True,False,False,False
668,10587,Q157448,P264,Q38903,P169,Q3265178,A-Teens,Universal Music Group,Lucian Grainge,['A*Teens'],"['Universal Music Group N.V.', 'UMG', 'UMG Recordings, Inc.', 'Universal Music']",['Sir Lucian Charles Grainge'],musical group,record label,public company,chief executive officer,human,26855.0,2612.0,2244.0,the record label of {},the chief executive officer of {},the chief executive officer of the record label of A-Teens is,True,True,False,False,False
754,11126,Q300409,P264,Q27184,P112,Q1101884,A Flock of Seagulls,Jive Records,Clive Calder,"[""A Flock of Seagull's"", 'a flock of seagulls', 'AFOS', 'flock of seagulls', 'Flock Of Seagulls']",['Jive'],['Clive Ian Calder'],musical group,record label,record label,founded by,human,12151.0,47117.0,10842.0,the record label of {},the founder of {},the founder of the record label of A Flock of Seagulls is,True,True,False,False,False
80,11260,Q1344736,P159,Q172,P112,Q561352,Entertainment One,Toronto,John Graves Simcoe,"['E1 Entertainment', 'Entertainment One Income Fund', 'eOne', 'EOne Films', 'Records On Wheels Limited', 'ROW Entertainment']","['Toronto, Canada', 'Hogtown', 'The Six', 'City of Toronto', 'Toronto, Ontario', 'T-O', 'The 416', 'Toronto, ON']",['Lt. Col. Simcoe'],record label,headquarters location,city,founded by,human,1804.0,0.0,14137.0,the headquarters location of {},the founder of {},the founder of the headquarters location of Entertainment One is,True,True,False,False,False
694,11491,Q1536003,P127,Q38903,P127,Q1127887,Philips Records,Universal Music Group,Vivendi,"['LC 00305', 'LC 0305']","['UMG', 'UMG Recordings, Inc.', 'Universal Music', 'Universal Music Group N.V.']","['Vivendi Universal SA', 'Vivendi (France)', 'Vivendi Films']",record label,owned by,public company,owned by,public company,475.0,34.0,14137.0,the owner of {},the owner of {},the owner of the owner of Philips Records is,True,True,False,False,False
140,11649,Q67151508,P495,Q16,P38,Q1104069,Mortification Records,Canada,Canadian dollar,['Mortified Productions'],"['CA', 'CAN', 'Dominion of Canada', 'Canada (country)', 'Commonwealth of Canada', 'ISO 3166-1:CA', 'ᑲᓇᑕ']","['$', 'dollar', 'dollars', 'CAD', 'C$', 'CA$']",record label,country of origin,country,currency,currency,1416.0,16636.0,1649.0,the country of origin of {},the currency of {},the currency of the country of origin of Mortification Records is,True,True,False,False,False
675,11811,Q2104471,P127,Q7414,P159,Q39561,Disney Music Group,The Walt Disney Company,Burbank,"['DMG', 'Walt Disney Music Publishing', 'Buena Vista Music Group']","['Walt Disney', 'Disney', 'Disney Brothers Cartoon Studio', 'Walt Disney Productions', 'The Walt Disney Studio', 'Walt Disney Company']","['Burbank, California', 'Burbank, CA']",record label,owned by,public company,headquarters location,city,26855.0,66.0,3.0,the owner of {},the headquarters location of {},the headquarters location of the owner of Disney Music Group is,True,True,False,False,False
126,11848,Q880388,P495,Q34,P38,Q122922,Black Mark Productions,Sweden,Swedish krona,"['Black Mark Label', 'Black Mark']","['se', 'SWE', 'Sverige', 'SE', 'Kingdom of Sweden', 'Konungariket Sverige', '🇸🇪']",['SEK'],record label,country of origin,country,currency,currency,26855.0,30520.0,47117.0,the country of origin of {},the currency of {},the currency of the country of origin of Black Mark Productions is,True,True,False,False,False
326,11867,Q1542119,P127,Q219400,P112,Q104109,United Artists Records,United Artists Corporation,Mary Pickford,['UAR'],"['UA', 'UAC', 'United Artist']","['Gladys Louise Smith', 'Gladys Marie Smith', 'Gladys Mary Moore']",record label,owned by,film production company,founded by,human,1804.0,0.0,14137.0,the owner of {},the founder of {},the founder of the owner of United Artists Records is,True,True,False,False,False
314,11869,Q1542119,P127,Q219400,P127,Q179200,United Artists Records,United Artists Corporation,Metro-Goldwyn-Mayer,['UAR'],"['UA', 'UAC', 'United Artist']","['MGM', 'Metro Goldwyn Mayer']",record label,owned by,film production company,owned by,film production company,22411.0,16.0,47117.0,the owner of {},the owner of {},the owner of the owner of United Artists Records is,True,True,False,False,False
680,12010,Q4382045,P127,Q38903,P127,Q1127887,Capitol Christian Music Group,Universal Music Group,Vivendi,['Capitol CMG'],"['Universal Music Group N.V.', 'UMG', 'UMG Recordings, Inc.', 'Universal Music']","['Vivendi Universal SA', 'Vivendi (France)', 'Vivendi Films']",record label,owned by,public company,owned by,public company,5676.0,383.0,328.0,the owner of {},the owner of {},the owner of the owner of Capitol Christian Music Group is,True,True,False,False,False
87,12056,Q16070339,P740,Q172,P112,Q561352,OVO Sound,Toronto,John Graves Simcoe,"[""October's Very Own"", 'OVO (WMG)']","['Toronto, Canada', 'Hogtown', 'The Six', 'City of Toronto', 'Toronto, Ontario', 'T-O', 'The 416', 'Toronto, ON']",['Lt. Col. Simcoe'],record label,location of formation,city,founded by,human,4533.0,47117.0,6344.0,the location of formation of {},the founder of {},the founder of the location of formation of OVO Sound is,True,True,False,False,False
15,12396,Q74287,P123,Q95145,P159,Q84,The Hobbit,George Allen & Unwin,London,"['Hobbit', 'The Hobbit, or There and Back Again']","['George Allen & Co.', 'George Allen & Sons', 'George Allen and Unwin', 'George Russell & Unwin (in error?)']","['Augusta', 'Lond.', 'Londinium', 'London, United Kingdom', 'Lunden', 'Greater London', 'London, England', 'LDN', 'Big Smoke', 'London U.K.', 'London UK', 'London, UK', 'Londinio', 'Trinovantum', 'Kaerlud', 'Karelundein', 'Llan Dian', 'Llyn Dain', 'Loñ', 'Lon.', 'Loñ.', 'Londini', 'Londiniensium', 'Londinion', 'Loniniensi', 'Lundenburgh', 'Lundenburh', 'Lundenwic', 'the Big Smoke']",literary work,publisher,book publisher,headquarters location,city,26855.0,2612.0,2244.0,the publisher of {},the headquarters location of {},the headquarters location of the publisher of The Hobbit is,True,True,False,False,False
373,12474,Q82464,P50,Q30875,P26,Q445095,The Picture of Dorian Gray,Oscar Wilde,Constance Lloyd,['Picture of Dorian Gray'],"[""Oscar Fingal O'Flahertie Wills Wilde"", ""Oscar O'Flahertie Wills Wilde"", ""Oscar Fingal O'Fflahertie Wills Wilde"", ""Oscar O'Fflahertie Wills Wilde""]","['Constance Mary Lloyd', 'Constance Mary Wilde', 'Constance Wilde']",literary work,author,human,spouse,human,3990.0,4.0,0.0,the author of {},the spouse of {},the spouse of the author of The Picture of Dorian Gray is,True,True,False,False,False
355,12539,Q123397,P50,Q859,P25,Q444595,The Republic,Plato,Perictione,"['Republic', 'Plat. Rep.', ""Plato's Republic""]","['Aristocles', 'Platon', 'Plátōn']",['Perictione I'],literary work,author,human,mother,human,12151.0,347.0,1181.0,the author of {},the mother of {},the mother of the author of The Republic is,True,True,False,False,False
95,12921,Q816528,P495,Q30,P38,Q4917,Ben-Hur: A Tale of the Christ,United States of America,United States dollar,"['Ben Hur', 'Ben Hur: A tale of the Christ']","['the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'America', 'United States', 'US', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['greenback', '$USD', 'USD$', 'US dollars', 'American dollars', 'United States dollars', 'USA dollar', 'USA dollars', 'American dollar', 'U. S. Dollar', 'U.S. Dollar', 'US $', 'US dollar', 'US-$', 'US$', '$', 'dollar', 'dollars', 'USD', 'buck']",literary work,country of origin,country,currency,currency,5676.0,161.0,66.0,the country of origin of {},the currency of {},the currency of the country of origin of Ben-Hur: A Tale of the Christ is,True,True,False,False,False
393,13431,Q772496,P50,Q9391,P22,Q563305,Philosophical Investigations,Ludwig Wittgenstein,Karl Wittgenstein,['Philosophische Untersuchungen'],"['Wittgenstein', 'Ludwig Josef Johann Wittgenstein']",['Karl Otto Clemens Wittgenstein'],literary work,author,human,father,human,167.0,92.0,10572.0,the author of {},the father of {},the father of the author of Philosophical Investigations is,True,True,False,False,False
365,13461,Q749783,P50,Q171091,P800,Q605249,The Man in the High Castle,Philip K. Dick,Do Androids Dream of Electric Sheep?,['Man in the High Castle'],"['Filip K. Dik', 'Jack Dowland', 'Philip Dick', 'Philip Kindred Dick', 'PKD', 'Richard Phillips']","['Blade runner (Dick, 1968)']",literary work,author,human,notable work,literary work,797.0,901.0,340.0,the author of {},the most notable work of {},the most notable work of the author of The Man in the High Castle is,True,True,False,False,False
374,13464,Q467720,P50,Q181659,P25,Q604535,The Dispossessed,Ursula K. Le Guin,Theodora Kroeber,['The Dispossessed: An Ambiguous Utopia'],"['Ursula Le Guin', 'Ursula Kroeber', 'Ursula Kroeber Le Guin']","['Theodora Covel Kracaw Kroeber Quinn', 'Theodora Kracaw', 'Theodora Kracaw Brown', 'Theodora Kroeber-Quinn']",literary work,author,human,mother,human,792.0,23.0,10572.0,the author of {},the mother of {},the mother of the author of The Dispossessed is,True,True,False,False,False
28,13584,Q1052459,P123,Q2522363,P159,Q84,Good Omens,Victor Gollancz Ltd,London,"['Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch']","['Gollancz', 'Victor Gollancz']","['Augusta', 'Lond.', 'Londinium', 'London, United Kingdom', 'Lunden', 'Greater London', 'London, England', 'LDN', 'Big Smoke', 'London U.K.', 'London UK', 'London, UK', 'Londinio', 'Trinovantum', 'Kaerlud', 'Karelundein', 'Llan Dian', 'Llyn Dain', 'Loñ', 'Lon.', 'Loñ.', 'Londini', 'Londiniensium', 'Londinion', 'Loniniensi', 'Lundenburgh', 'Lundenburh', 'Lundenwic', 'the Big Smoke']",literary work,publisher,book publisher,headquarters location,city,397.0,47117.0,10842.0,the publisher of {},the headquarters location of {},the headquarters location of the publisher of Good Omens is,True,True,False,False,False
360,13993,Q331651,P50,Q892,P26,Q82052,The Children of Húrin,J. R. R. Tolkien,Edith Tolkien,['The Children of Hurin'],"['Tolkien', 'J-R-R Tolkien', 'J.R.R. Tolkien', 'John R. R. Tolkien', 'John Ronald Reuel Tolkien', 'John Tolkien', 'J.R.R Tolkien']","['Edith Bratt', 'Edith Mary Bratt', 'Edith Mary Tolkien']",literary work,author,human,spouse,human,4533.0,47117.0,24833.0,the author of {},the spouse of {},the spouse of the author of The Children of Húrin is,True,True,False,False,False
27,14125,Q331651,P123,Q95149,P127,Q14289857,The Children of Húrin,HarperCollins,News Corp,['The Children of Hurin'],"['Harper Element', 'HarperCollins Publishers LLC']","['News Corporation', 'New News Corp', 'News Corp (Firm : 2013)', 'News Corp.']",literary work,publisher,book publisher,owned by,public company,5444.0,363.0,888.0,the publisher of {},the owner of {},the owner of the publisher of The Children of Húrin is,True,True,False,False,False
124,14195,Q5918025,P495,Q30,P38,Q4917,How Much For Just The Planet?,United States of America,United States dollar,"['How Much for Just the Planet?', 'How Much for Just the Planet%3F']","['the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'America', 'United States', 'US', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['$', 'dollar', 'dollars', 'USD', 'buck', 'American dollar', 'U. S. Dollar', 'U.S. Dollar', 'US $', 'US dollar', 'US-$', 'US$', 'greenback', '$USD', 'USD$', 'US dollars', 'American dollars', 'United States dollars', 'USA dollar', 'USA dollars']",literary work,country of origin,country,currency,currency,5819.0,47117.0,10842.0,the country of origin of {},the currency of {},the currency of the country of origin of How Much For Just The Planet? is,True,True,False,False,False
136,14533,Q54800774,P495,Q30,P36,Q61,Cloak,United States of America,"Washington, D.C.",['Cloak (novel)'],"['America', 'United States', 'US', 'the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['Washington', 'The District', 'D.C.', 'DC', 'District of Columbia', 'Washington D.C.', 'Washington, DC', 'US-DC', 'Washington DC', 'Washington, D.C., U.S.', 'Washington, District of Columbia', 'Washington, D. C.', 'D.C. Washington']",literary work,country of origin,country,capital,city,3188.0,0.0,15899.0,the country of origin of {},the capital of {},the capital of the country of origin of Cloak is,True,True,False,False,False
354,15314,Q131074,P86,Q207773,P27,Q16,The Lord of the Rings: The Return of the King,Howard Shore,Canada,['Lord of the Rings: The Return of the King'],['Howard Leslie Shore'],"['CA', 'CAN', 'Dominion of Canada', 'Canada (country)', 'Commonwealth of Canada', 'ISO 3166-1:CA', 'ᑲᓇᑕ']",film,composer,human,country of citizenship,country,7870.0,517.0,0.0,the composer of {},the country of citizenship of {},the country of citizenship of the composer of The Lord of the Rings: The Return of the King is,True,True,False,False,False
359,15873,Q192934,P57,Q103646,P27,Q30,Angels & Demons,Ron Howard,United States of America,['Angels and Demons'],['Ronald William Howard'],"['the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'America', 'United States', 'US', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']",film,director,human,country of citizenship,country,1799.0,14137.0,5379.0,the director of {},the country of citizenship of {},the country of citizenship of the director of Angels & Demons is,True,True,False,False,False
